"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"1",40.84,41.150002,40.810001,41.07,9168600,39.533898
"2",40.98,41.060001,40.790001,40.860001,9648600,39.331753
"3",40.41,40.68,40.369999,40.419998,11583600,39.200822
"4",40.389999,40.529999,40.25,40.369999,9194600,39.152331
"5",40.189999,40.77,40.150002,40.66,12878200,39.433585
"6",41.18,41.200001,40.610001,40.919998,26926600,39.685741
"7",40.790001,41.57,40.75,41.560001,18518200,40.30644
"8",41.540001,41.869999,41.529999,41.790001,13275200,40.529502
"9",41.869999,41.880001,41.529999,41.689999,23402600,40.432516
"10",41.459999,41.740002,41.330002,41.73,13099300,40.47131
"11",41.52,41.889999,41.470001,41.849998,14962800,40.58769
"12",41.599998,41.98,41.459999,41.959999,17621800,40.694373
"13",41.91,42.049999,41.779999,42.029999,16903300,40.762261
"14",41.990002,42.290001,41.91,42.189999,18674400,40.917435
"15",41.98,42.490002,41.82,42.360001,14068800,41.082309
"16",42.389999,42.450001,42.150002,42.290001,11497700,41.014421
"17",42.310001,42.41,42.150002,42.290001,6707000,41.014421
"18",42.259998,42.32,42.009998,42.23,7537700,40.956229
"19",41.959999,42.200001,41.93,42.139999,8991900,40.868944
"20",41.970001,42.25,41.91,41.939999,10090500,40.674975
"21",41.93,42.16,41.790001,41.950001,9891600,40.684676
"22",41.560001,42.290001,41.549999,42.259998,12564500,40.985323
"23",42.119999,42.25,41.880001,41.970001,9773000,40.704073
"24",41.990002,42.389999,41.98,42.380001,11857700,41.101706
"25",42.41,42.43,41.950001,42.099998,10541900,40.830149
"26",42.259998,42.389999,42.02,42.119999,10331400,40.849546
"27",41.93,42.150002,41.830002,42.02,9983500,40.752564
"28",42.139999,42.470001,42.02,42.43,19272400,41.150197
"29",42.119999,42.57,42.09,42.400002,17607200,41.121103
"30",41.099998,41.330002,40.610001,41.189999,24706000,39.947597
"31",40.98,41.049999,40.630001,40.810001,17531700,39.579062
"32",40.970001,41.099998,40.66,40.970001,14856000,39.734236
"33",40.919998,41.040001,40.810001,41,10809900,39.76333
"34",40.990002,41,40.610001,40.68,11709100,39.452982
"35",40.75,40.779999,40.349998,40.349998,10863600,39.132934
"36",40.450001,40.5,39.610001,39.619999,20346200,38.424953
"37",39.529999,39.73,39.25,39.290001,15434700,38.104909
"38",39.130001,39.490002,39.060001,39.290001,13566700,38.104909
"39",39.41,39.459999,39.119999,39.400002,11012900,38.211591
"40",39.34,39.529999,39.099998,39.18,11639200,37.998226
"41",39.130001,39.959999,39.130001,39.919998,17567500,38.715904
"42",39.959999,40.009998,39.330002,39.349998,14367400,38.163097
"43",39.34,39.580002,39.259998,39.450001,13667000,38.260083
"44",39.52,39.869999,39.52,39.57,14102600,38.376462
"45",39.560001,39.84,39.540001,39.68,13297500,38.483145
"46",39.700001,40.099998,39.700001,39.939999,9646500,38.735301
"47",39.93,40.189999,39.93,40.18,6902000,38.968063
"48",40.849998,41.150002,40.66,40.880001,23221600,39.64695
"49",40.790001,41.419998,40.790001,41.349998,14891500,40.102771
"50",41.349998,41.48,41.16,41.259998,10260400,40.015486
"51",41.150002,41.34,41.09,41.25,6782500,40.005789
"52",41.290001,41.689999,41.220001,41.41,11951000,40.160963
"53",41.290001,41.52,41.049999,41.119999,11244600,39.879709
"54",41.32,41.450001,41.119999,41.41,10229300,40.160963
"55",41.41,41.700001,41.41,41.599998,8416500,40.345231
"56",41.529999,41.709999,41.439999,41.599998,7693100,40.345231
"57",41.509998,41.700001,41.439999,41.630001,9746400,40.374328
"58",41.599998,41.75,41.470001,41.720001,7666700,40.461614
"59",41.52,41.84,41.310001,41.639999,9798100,40.384025
"60",41.689999,41.849998,41.66,41.779999,8635400,40.519802
"61",41.799999,42.169998,41.73,41.869999,16785300,40.607087
"62",41.860001,41.860001,41.610001,41.84,12768100,40.577993
"63",41.669998,41.939999,41.630001,41.779999,9097700,40.519802
"64",41.77,42.029999,41.75,41.939999,11892500,40.674975
"65",41.900002,42.189999,41.830002,42.169998,17558000,40.898037
"66",41.68,42.060001,41.66,41.950001,19614000,40.981077
"67",41.900002,41.919998,41.360001,41.459999,12979900,40.502393
"68",41.450001,41.580002,41.330002,41.5,12259600,40.54147
"69",41.290001,41.799999,41.18,41.639999,15232800,40.678236
"70",41.77,41.779999,41.32,41.610001,16693800,40.64893
"71",41.75,41.880001,41.549999,41.790001,12586400,40.824773
"72",41.98,42.349998,41.75,42.049999,47559700,41.078766
"73",41.849998,42.25,41.73,42.220001,11518100,41.244842
"74",42,42.16,41.880001,41.889999,10251300,40.922462
"75",41.849998,42.34,41.849998,42.27,13540900,41.293686
"76",42.060001,42.169998,41.77,41.779999,11076300,40.815002
"77",42,42.25,41.709999,42.200001,9939600,41.225303
"78",41.900002,42.259998,41.880001,42.25,12441100,41.274148
"79",42.099998,42.810001,42.080002,42.66,22613700,41.674678
"80",42.549999,42.849998,42.369999,42.740002,30409700,41.752832
"81",42.599998,42.779999,42.419998,42.66,16643200,41.674678
"82",42.860001,43.07,42.66,43,14046300,42.006825
"83",43.029999,43.68,42.970001,43.599998,20328100,42.592965
"84",43.48,44.139999,43.48,43.919998,24936600,42.905574
"85",43.580002,44.560001,43.509998,44.549999,26115600,43.521024
"86",44.439999,44.75,43.869999,43.869999,25029300,42.856729
"87",43.880001,44.869999,43.849998,44.470001,25920800,43.442873
"88",44.279999,44.630001,44.029999,44.07,20175200,43.052111
"89",44.040001,44.119999,43.470001,43.639999,21027400,42.632042
"90",42.700001,43.529999,42.700001,43.23,22988600,42.231512
"91",42.650002,42.939999,42.380001,42.560001,22519200,41.576989
"92",42.689999,43.029999,42.310001,42.880001,23236000,41.889597
"93",42.75,43.470001,42.709999,43.290001,17647800,42.290128
"94",40.799999,41.189999,40.259998,40.68,55953500,39.74041
"95",40.189999,41.110001,40.099998,40.619999,27728200,39.681795
"96",40.939999,41.380001,40.740002,40.860001,23346800,39.916253
"97",40.98,41.27,40.919998,41.029999,13396000,40.082325
"98",40.700001,40.91,40.560001,40.759998,17222500,39.818561
"99",40.759998,40.860001,40.509998,40.560001,18658700,39.623183
"100",40.650002,41.029999,40.52,40.959999,25761800,40.013942
"101",41,41.59,40.830002,41.400002,18295600,40.443782
"102",41.830002,41.889999,41.400002,41.880001,18477700,40.912695
"103",41.790001,42.279999,41.59,41.810001,13230600,40.844312
"104",41.77,42.049999,41.66,41.82,10105300,40.854079
"105",42.299999,42.540001,41.990002,42.310001,20676800,41.332763
"106",42.43,42.619999,42.110001,42.290001,11528800,41.313225
"107",42.450001,42.459999,42.139999,42.32,11803800,41.342531
"108",42.25,42.57,42.09,42.389999,9088900,41.410913
"109",42.380001,42.709999,42.360001,42.509998,8563700,41.528141
"110",42.509998,42.889999,42.310001,42.709999,12767900,41.723522
"111",42.650002,43.080002,42.630001,42.790001,12006900,41.801676
"112",42.700001,42.970001,42.5,42.73,10939500,41.743061
"113",42.75,42.990002,42.73,42.919998,10664000,41.928671
"114",42.950001,43.860001,42.75,43.529999,26143000,42.524582
"115",43.669998,44.43,43.560001,44.220001,25400600,43.198648
"116",43.959999,44.419998,43.849998,44.25,13465200,43.227953
"117",44.580002,44.740002,44.279999,44.5,14382600,43.472179
"118",44.509998,44.779999,44.200001,44.27,12890800,43.247492
"119",44.27,44.59,44.119999,44.43,10741700,43.403796
"120",43.990002,44.369999,43.970001,44.290001,9199200,43.566098
"121",44.150002,45,44.150002,44.830002,10502000,44.097273
"122",44.18,44.77,44.130001,44.549999,10065700,43.821847
"123",44.369999,44.669998,44.23,44.540001,9862400,43.812012
"124",44.419998,44.439999,43.759998,43.799999,15246500,43.084105
"125",43.619999,43.84,43.369999,43.5,13779700,42.78901
"126",43.5,43.610001,43.200001,43.529999,12536900,42.818518
"127",43.509998,43.630001,43.09,43.139999,12802300,42.434893
"128",42.150002,42.529999,41.669998,42.040001,25714600,41.352874
"129",42.040001,42.240002,41.560001,41.599998,18324100,40.920063
"130",41.619999,42.009998,41.5,41.529999,16201500,40.851207
"131",41.389999,41.610001,40.869999,40.91,18432400,40.241342
"132",41.130001,41.18,40.560001,40.57,23378500,39.906899
"133",40.200001,41.310001,39.799999,40.389999,23475400,39.729841
"134",40.439999,41.759998,40.380001,41.549999,20223900,40.870881
"135",41.860001,42.389999,41.75,42.389999,18030700,41.697152
"136",42.439999,42.790001,41.889999,41.950001,24009500,41.264344
"137",42.139999,42.439999,42.09,42.349998,11190900,41.657804
"138",42.540001,43.139999,42.470001,42.970001,13411300,42.267673
"139",43.099998,43.23,42.919998,42.939999,6405900,42.238161
"140",42.970001,43.299999,42.93,42.959999,6466900,42.257835
"141",42.799999,43.060001,42.490002,42.860001,8694500,42.159471
"142",42.740002,42.990002,42.650002,42.759998,9222000,42.061103
"143",42.919998,42.939999,42.220001,42.220001,9369500,41.529932
"144",42.259998,42.400002,41.799999,42.139999,9921100,41.451238
"145",42.689999,42.970001,42.080002,42.139999,26292600,41.451238
"146",42.41,42.939999,42.240002,42.459999,16897500,41.766007
"147",42.799999,43.110001,42.580002,42.990002,13412300,42.287347
"148",43.18,43.57,43.099998,43.509998,21743600,42.798845
"149",43.470001,43.560001,42.950001,43.029999,12733500,42.32669
"150",43.07,43.200001,42.459999,42.639999,11415800,41.943065
"151",42.830002,43.240002,42.450001,42.630001,12529500,41.93323
"152",42.080002,42.599998,42.07,42.560001,13447600,41.864375
"153",42.560001,42.860001,42.169998,42.380001,11193100,41.687317
"154",42.360001,42.59,42.240002,42.529999,15114900,41.834863
"155",42.700001,43.330002,42.610001,43.16,17047300,42.454567
"156",42.889999,43.43,42.759998,43.360001,10720600,42.651298
"157",43.369999,43.830002,43.07,43.779999,14709100,43.064432
"158",43.599998,43.75,43.18,43.310001,12357700,42.602116
"159",43.18,43.23,42.830002,43,11151900,42.297182
"160",42.540001,42.639999,42.150002,42.389999,15274000,41.697152
"161",42.59,42.799999,41.900002,41.919998,14278500,41.234832
"162",41.77,42.150002,41.470001,42.099998,13657900,41.411891
"163",41.830002,41.93,41.110001,41.169998,19193700,40.497091
"164",41.209999,41.630001,40.900002,41.59,15197500,40.910228
"165",41.75,41.849998,41.369999,41.630001,13193100,40.949575
"166",41.77,42.09,41.619999,41.68,16400000,40.998757
"167",41.799999,41.82,41.509998,41.790001,11078500,41.10696
"168",41.630001,41.759998,41.32,41.450001,12108900,40.772517
"169",41.380001,41.450001,41.040001,41.23,13371100,40.556111
"170",42.91,43.029999,42.200001,42.400002,32184200,41.70699
"171",42.099998,42.490002,41.700001,42.369999,20496300,41.677478
"172",42.400002,42.66,42.07,42.169998,13818200,41.480746
"173",42.02,42.23,41.759998,41.990002,10792100,41.303692
"174",41.810001,41.880001,41.639999,41.810001,12804200,41.126633
"175",41.75,41.799999,41.470001,41.73,9789800,41.047939
"176",41.68,42.240002,41.529999,42.110001,16578300,41.421729
"177",42.040001,42.110001,41.639999,41.970001,15982400,41.284018
"178",41.709999,42.169998,41.689999,41.849998,11830300,41.165977
"179",41.849998,42.330002,41.77,42.130001,12782700,41.441403
"180",42.169998,42.240002,41.740002,42.049999,10323300,41.362709
"181",42.040001,42.549999,41.970001,42.459999,14346500,41.766007
"182",42.52,43.66,42.470001,43.299999,28312800,42.592278
"183",43.299999,43.299999,43.080002,43.200001,13514600,42.493914
"184",43.110001,43.16,42.84,42.950001,10036300,42.248
"185",42.919998,42.98,42.470001,42.5,16263000,41.805354
"186",42.560001,42.610001,42.25,42.400002,9223000,41.70699
"187",42.119999,42.200001,41.330002,41.52,18180500,40.841372
"188",41.529999,41.549999,41.32,41.389999,10123300,40.713496
"189",41.099998,41.150002,40.68,40.689999,14599100,40.024937
"190",40.73,40.73,40.080002,40.099998,18549700,39.44458
"191",40.099998,40.57,40.02,40.57,17728700,40.238037
"192",40.439999,40.57,39.610001,39.91,17438400,39.583438
"193",40,40.349998,39.990002,40.290001,15238800,39.960329
"194",40.669998,40.73,40.32,40.509998,21661800,40.178527
"195",40.48,40.790001,39.799999,40.599998,26247500,40.26779
"196",40.48,40.52,39.959999,40.02,16057600,39.692538
"197",40.07,40.66,40.009998,40.650002,31608500,40.317384
"198",40.639999,40.939999,40.5,40.619999,17060500,40.287627
"199",40.91,40.990002,40.470001,40.470001,13485700,40.138857
"200",40.59,40.700001,40.240002,40.450001,22811300,40.11902
"201",40.34,40.560001,40.23,40.349998,17359600,40.019836
"202",40.48,40.48,39.970001,40.080002,14384400,39.752049
"203",40.110001,40.610001,39.939999,40.509998,12561400,40.178527
"204",40.509998,40.900002,40.349998,40.549999,16604800,40.2182
"205",40.790001,40.810001,40.23,40.68,14300700,40.347138
"206",40.73,40.869999,40.48,40.68,14343100,40.347138
"207",40.77,41.610001,40.59,41.169998,19843400,40.833126
"208",41.049999,41.369999,40.970001,41.009998,9773400,40.674435
"209",40.98,41.09,40.740002,40.889999,8954700,40.555418
"210",40.799999,41.080002,40.630001,41.049999,12710900,40.714109
"211",41.09,41.16,40.849998,40.880001,8720000,40.545502
"212",40.970001,40.970001,40.700001,40.700001,9616300,40.366974
"213",40.59,40.650002,40.32,40.509998,11209700,40.178527
"214",40.59,40.810001,40.32,40.400002,11189100,40.06943
"215",40.41,40.860001,40.299999,40.599998,13121000,40.26779
"216",40.470001,40.66,40.099998,40.299999,15330300,39.970246
"217",40.419998,40.900002,40.41,40.66,13023700,40.327301
"218",40.669998,40.990002,40.540001,40.779999,19673100,40.446318
"219",41.560001,41.57,41.07,41.310001,26887200,40.971984
"220",41.23,41.41,40.919998,40.950001,17408800,40.614929
"221",41.040001,41.119999,40.810001,40.889999,11623300,40.555418
"222",41,41.150002,40.779999,40.830002,10044600,40.495912
"223",40.950001,40.970001,40.599998,40.77,12174800,40.436401
"224",40.66,40.75,40.400002,40.490002,11371400,40.158694
"225",40.400002,40.580002,40.279999,40.560001,12700800,40.228121
"226",40.580002,40.93,40.5,40.91,10848300,40.575255
"227",40.880001,41.099998,40.77,40.959999,10204800,40.624845
"228",41.139999,41.139999,40.68,40.75,11721300,40.416565
"229",41.040001,41.09,40.389999,40.66,11906900,40.327301
"230",40.529999,40.91,40.509998,40.700001,13834700,40.366974
"231",41,41.169998,40.849998,40.98,11144400,40.644682
"232",40.98,41.389999,40.880001,40.939999,10113500,40.605008
"233",40.77,40.959999,40.52,40.689999,12384500,40.357054
"234",40.75,41.360001,40.720001,41.049999,13183700,40.714109
"235",41.299999,41.599998,41.259998,41.5,9961000,41.160428
"236",41.450001,41.689999,41.43,41.52,8479000,41.180264
"237",41.490002,41.490002,41.25,41.32,11511700,40.9819
"238",41.23,41.389999,41.130001,41.310001,9072000,40.971984
"239",41.369999,41.59,41.310001,41.349998,10965200,41.011654
"240",41.259998,41.32,41.07,41.23,9270900,40.892636
"241",41.119999,41.240002,41.040001,41.209999,11909500,40.8728
"242",41.119999,41.18,40.740002,40.990002,15194300,40.654602
"243",40.939999,41.200001,40.830002,41.119999,9863100,40.783536
"244",41.200001,41.299999,40.880001,41.139999,9395200,40.803373
"245",41.18,41.18,40.77,40.959999,19628600,40.624845
"246",41.360001,41.41,40.880001,40.939999,12684100,40.605008
"247",40.84,41.16,40.68,40.990002,11878600,40.654602
"248",41.099998,41.209999,40.779999,40.869999,8153800,40.535582
"249",40.709999,40.98,40.529999,40.59,10145800,40.257874
"250",40.48,40.52,40.080002,40.099998,15975600,39.771882
"251",40.099998,40.259998,40.02,40.16,14339300,39.831392
"252",40.169998,40.419998,40.110001,40.200001,10772700,39.871066
"253",40.32,40.540001,40.279999,40.330002,11979900,40.000003
