"","stock_data$BRCM.Open","stock_data$BRCM.High","stock_data$BRCM.Low","stock_data$BRCM.Close","stock_data$BRCM.Volume","stock_data$BRCM.Adjusted"
"1",32.66,36.459999,32.490002,32.970001,141669800,31.002146
"2",32.91,38.470001,32.220001,36.029999,193670000,33.879503
"3",37.040001,37.110001,29.9,29.959999,222713800,28.242828
"4",30.700001,35.98,30.309999,35.389999,226085900,33.361605
"5",35.689999,41.98,34.34,40.830002,199356700,38.489811
"6",40.740002,45.369999,39.889999,44.490002,158323900,42.016257
"7",45.200001,47,42.919998,43.549999,115400900,41.128521
"8",44.099998,47.389999,41.939999,45.09,126206200,42.582895
"9",45.849998,46.75,39.279999,41.220001,242313400,39.010127
"10",41.360001,42.599998,38.599998,39.380001,185638100,37.268772
"11",39.52,41,34.169998,35.189999,229552000,33.303403
"12",35.32,36.98,32.639999,35.98,227663500,34.143945
"13",36.25,36.389999,30.709999,33.639999,160254600,31.923355
"14",33.82,38.880001,32.220001,37.07,178190000,35.178323
"15",37.610001,37.990002,30.98,35.650002,211534000,33.922551
"16",35.630001,36.740002,31.799999,33.290001,191274800,31.676906
"17",33,38.369999,31.389999,36.09,167179300,34.341229
"18",35.060001,36.25,29.26,30.35,171876700,28.968256
"19",30.610001,31.24,27.59,29.360001,185745100,28.023328
"20",30.08,36.119999,29,34.349998,237158700,32.786147
"21",35.59,38.650002,35.41,37.150002,189973200,35.555161
"22",37.400002,39.66,33.82,39.299999,188946700,37.612859
"23",39.110001,39.23,33.990002,36.599998,154661800,35.028769
"24",36.599998,37.25,30.950001,32.349998,186786200,31.055643
"25",31.860001,35.540001,31.6,33.759998,157189800,32.409227
"26",33.830002,34.630001,28.6,33.880001,183212500,32.524429
"27",34.09,36.209999,33.349998,35.529999,147366300,34.205061
"28",35.34,37,33.799999,34.57,138993600,33.28086
"29",34.689999,35,31.290001,31.540001,144913900,30.363852
"30",31.450001,32.5,29.950001,32.380001,146444100,31.272601
"31",32.740002,34.790001,31.709999,33.209999,150837600,32.074213
"32",33.900002,35.5,32.43,32.450001,146375000,31.340206
"33",32.990002,35.209999,32.119999,34.09,158358600,33.031551
"34",33.990002,35.32,33.099998,34.68,139008000,33.603233
"35",34.57,36.009998,31.25,36,162854300,34.882248
"36",35.900002,37.849998,35.400002,35.91,125809700,34.901451
"37",36.02,36.200001,32.700001,33.790001,151488900,32.840993
"38",33.439999,34.959999,26.58,27.57,286870100,26.795683
"39",27.709999,27.860001,23.25,25.26,212521900,24.659675
"40",25.6,28.23,24.940001,26.02,200136000,25.401613
"41",26.09,27.92,24.6,26.719999,221613600,26.084975
"42",26.799999,27.66,25.959999,26.690001,154786900,26.165714
"43",26.690001,29.75,26.629999,29.65,186185400,29.067569
"44",29.4,30.6,28.299999,29.76,160413000,29.175408
"45",29.620001,31.370001,28.68,29.709999,121061900,29.240349
"46",29.530001,32.310001,29.389999,31.469999,124318200,30.972528
"47",31.530001,31.690001,28.860001,30.799999,154936800,30.313119
"48",30.719999,31.959999,29.299999,31.870001,114772200,31.488293
"49",36,38.849998,34.060001,37.119999,261785000,36.675412
"50",37.09,40.740002,37.09,38.259998,148438200,37.801758
"51",38.369999,39.5,36.549999,39.380001,103605600,39.029024
"52",39.150002,41.650002,38.799999,40.419998,117863400,40.059752
"53",40.459999,42.380001,34.5,41.880001,152075200,41.506743
"54",41.880001,43.349998,40.799999,43.130001,92254600,42.866952
"55",42.650002,44.330002,41.25,43.330002,119830600,43.065733
"56",43.43,43.740002,40.209999,42.439999,99117900,42.181158
"57",42.16,46.009998,40.330002,45.23,117771400,45.095444
"58",45.330002,46.310001,41.279999,43.299999,119897100,43.171185
"59",43.080002,46.810001,41.799999,44.209999,144439200,44.078478
"60",44.279999,57.700001,44.279999,56.849998,288159800,56.849998
"61",56.529999,56.93,52.98,54.240002,119734900,54.240002
