"","stock_data$FCX.Open","stock_data$FCX.High","stock_data$FCX.Low","stock_data$FCX.Close","stock_data$FCX.Volume","stock_data$FCX.Adjusted"
"1",62.639999,69.989998,58.91,59.130001,393432000,23.608296
"2",59.189999,72.489998,56.709999,71.540001,568517000,28.699313
"3",73.209999,76.25,65.709999,71.989998,442092000,28.879836
"4",73.980003,87.919998,73.730003,85.389999,417308200,34.255442
"5",86.949997,100.339996,86.370003,94.790001,512976600,38.146306
"6",96.550003,108.510002,95.010002,101.32,517068600,40.774171
"7",104.129997,120.779999,103.050003,120.089996,358212400,48.762965
"8",121.690002,122.690002,104.610001,108.75,434825200,44.340341
"9",110.550003,114.209999,49.599998,52.950001,351267500,43.178319
"10",53.130001,56.27,46.200001,55.549999,490164100,45.298499
"11",55.459999,58.75,49.709999,55.02,374741900,45.076161
"12",55.119999,55.57,46.060001,51.639999,488177700,42.720913
"13",51.639999,53.419998,47.060001,52.900002,425680200,43.763292
"14",52.849998,56.779999,51.970001,52.959999,312197900,44.016406
"15",54.380001,54.549999,41.200001,47.110001,451256700,39.154323
"16",46.889999,47.869999,30.370001,30.450001,486436700,25.307772
"17",30.209999,43.5,28.85,40.259998,644495900,33.698761
"18",37.5,42.099998,33.77,39.599998,400943400,33.146323
"19",39.34,41.220001,35.650002,36.790001,290620600,30.794275
"20",38.27,48.959999,38.119999,46.209999,361701000,38.91873
"21",46.790001,47.279999,41.900002,42.560001,341806700,35.844649
"22",43.029999,43.470001,36.759998,38.040001,456897700,32.037839
"23",38.25,39.43,35.73,38.299999,335862200,32.53482
"24",38.419998,38.689999,31.16,32.040001,365923100,27.21712
"25",31.559999,35.650002,31.280001,34.07,360853700,28.941549
"26",34.02,36,31.08,33.669998,390012200,28.874888
"27",33.580002,37.470001,32.32,36.110001,310887100,30.967397
"28",36.310001,43.650002,35.02,39.580002,363933900,33.943219
"29",40.209999,42.889999,38.66,38.880001,298047200,33.604423
"30",39.23,40.84,36.360001,39.009998,257027600,33.716781
"31",39.25,39.299999,30.540001,34.200001,628199000,29.559446
"32",35.349998,35.740002,33.57,35.25,302554800,30.737218
"33",35.84,36.259998,31.35,31.92,266019600,27.833532
"34",31.67,34.119999,30.719999,33.099998,268104300,28.862464
"35",32.990002,34,27.24,30.43,472732500,26.783116
"36",30.24,33.25,29.77,31.049999,415403300,27.328811
"37",31.040001,31.49,26.370001,27.610001,407035500,25.401066
"38",28.620001,30.139999,26.950001,28.280001,286904900,26.315902
"39",28.940001,32.200001,28.75,30.219999,298230400,28.121164
"40",31.07,34.990002,30.629999,33.080002,253754300,30.782534
"41",32.48,38,32.34,36.759998,289284800,34.535709
"42",36.869999,37.509998,34.400002,34.689999,192229100,32.590961
"43",34.68,38,33.810001,37.740002,182218300,35.456413
"44",37.689999,38.09,31.93,32.41,269854300,30.714714
"45",32.419998,34.099998,30.51,32.619999,205624600,30.913729
"46",32.709999,34.209999,30.379999,33.07,262780800,31.340191
"47",33.009998,34.48,32.349998,34.369999,186689500,32.882289
"48",34.220001,35.880001,33.43,34.049999,170539000,32.576141
"49",34.32,36.509998,33.389999,36.5,160385400,34.920093
"50",36.880001,39.32,36.830002,37.220001,230642100,35.89807
"51",37.119999,37.529999,35.630001,36.369999,144255900,35.078257
"52",36.040001,36.220001,32.290001,32.650002,176441900,31.490382
"53",32.799999,32.91,27.719999,28.5,330163400,27.76687
"54",28.700001,29.92,26.639999,26.85,236031600,26.159314
"55",26.709999,26.889999,20.940001,23.360001,374052200,22.759091
"56",23.35,23.719999,16.43,16.809999,456617300,16.602839
"57",16.98,21.9,16.809999,21.629999,370108800,21.363439
"58",21.629999,21.629999,17.02,18.950001,445081400,18.716468
"59",19.1,23.66,18.110001,23.27,421356100,23.046197
"60",23.379999,23.969999,19.65,19.65,307318200,19.461012
"61",19.75,20.780001,19.26,20.559999,113528500,20.36226
