"","stock_data$JOY.Open","stock_data$JOY.High","stock_data$JOY.Low","stock_data$JOY.Close","stock_data$JOY.Volume","stock_data$JOY.Adjusted"
"1",53.200001,58.560001,49.849998,50.09,42383600,47.150412
"2",50.369999,60.75,48.049999,59.369999,48924500,55.885803
"3",60.610001,61.950001,53.130001,56.720001,30097800,53.391323
"4",57.349998,72,56.709999,70.32,41307800,66.398054
"5",71.160004,73.940002,67.720001,70.949997,31344900,66.992914
"6",71.32,79.449997,69.580002,76.32,39027700,72.063416
"7",77.800003,88.209999,77.300003,86.75,33965200,82.092753
"8",87.75,93.5,83.800003,87.18,28630500,82.499668
"9",88.510002,100.580002,87.82,97.379997,53506700,92.15207
"10",98.529999,98.839996,86.75,98.809998,48061300,93.674005
"11",99.540001,103.440002,92.209999,100.949997,32462500,95.702771
"12",101.239998,102.120003,85.18,89.650002,42743100,84.990132
"13",89.510002,95.730003,82.610001,95.239998,43172200,90.473541
"14",94.949997,101.440002,90.540001,93.919998,35426600,89.219603
"15",95.559998,95.989998,69.139999,83.449997,58644000,79.442026
"16",83.730003,84.410004,62.200001,62.380001,49909600,59.383989
"17",61.580002,93.839996,57.48,87.199997,54635300,83.01192
"18",84.389999,91.970001,78.5,91.279999,43282900,86.895966
"19",90.970001,92.949997,72.589996,74.970001,36037600,71.506398
"20",77.480003,96,75.25,90.690002,35906200,86.500137
"21",91.709999,95.980003,83,86.959999,50066400,82.942459
"22",87.879997,89,70.139999,73.5,62153600,70.245675
"23",73.050003,77.629997,70.010002,70.769997,47340200,67.636546
"24",70.550003,71.489998,53.299999,55.860001,63854200,53.545401
"25",54.029999,60.279999,50.900002,56.73,46930500,54.379351
"26",56.27,58.560001,47.689999,51.939999,46699600,49.787827
"27",52.330002,59.299999,48.200001,53.380001,63431700,51.333206
"28",53.139999,63.68,50.75,56.060001,54875100,53.910445
"29",56.639999,64.129997,55.73,62.450001,48816200,60.055428
"30",63.77,67,53.830002,56.990002,41766000,54.972737
"31",57.389999,63.919998,55.18,63.779999,40116500,61.52239
"32",65.699997,69.190002,62.130001,63.169998,43393800,60.933981
"33",63.799999,68.209999,59.02,63.34,49736700,61.266943
"34",62.59,63.490002,57.23,59.52,40948200,57.571969
"35",59.450001,59.509998,52.099998,56.52,52191200,54.670156
"36",56.18,61.75,53.529999,54.080002,47913700,52.475152
"37",54.279999,54.59,48.509998,48.529999,43857400,47.089848
"38",48.82,52.990002,47.830002,49.5,39296400,48.031064
"39",49.939999,54.240002,48.07,49.119999,44917200,47.832543
"40",49.669998,54.880001,49.07,51.040001,36266600,49.702221
"41",51.34,58.959999,50.07,56.75,42010800,55.262558
"42",56.630001,59.349998,54.490002,56.560001,23773100,55.07754
"43",56.220001,58.599998,52.389999,58.490002,37521000,57.133729
"44",58,58.119999,52.119999,52.790001,32096500,51.5659
"45",52.389999,57.880001,51.169998,55,26114500,53.89295
"46",54.43,59.689999,53.919998,58,39575000,56.832565
"47",58.349998,62.490002,57.790001,60.380001,30792900,59.164661
"48",60.25,60.549999,56.810001,57.150002,21802200,55.999675
"49",57.549999,64.830002,56.82,61.580002,35034300,60.552414
"50",61.91,65.360001,59.23,59.259998,37543800,58.271125
"51",59,64.610001,58.130001,63.150002,22403600,62.096215
"52",62.900002,63.290001,54.540001,54.540001,28024600,53.800279
"53",54.43,55.150002,48.91,52.630001,32972000,51.916185
"54",52.639999,55.400002,48.360001,49.040001,19171500,48.374875
"55",49.02,54.189999,44.450001,46.52,43079700,46.072281
"56",46.599998,47.220001,40.66,41.939999,29889000,41.536358
"57",42.130001,45.290001,41.939999,44.32,22355300,43.893453
"58",44.119999,44.119999,37.77,39.18,44305700,38.97882
"59",39.139999,43.400002,38.400002,42.639999,36805400,42.421053
"60",42.810001,44.75,38.599998,38.939999,38581600,38.740051
"61",39.07,41,38.189999,40.200001,17025400,40.200001
